miRNA	Contrast	Dir	Info	Source
hsa-miR-125a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-219a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
unknown	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-370-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-30d-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-30b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-302c-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-205-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-301a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-10a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-187-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-153-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-211-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-199b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-340-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-92a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-19b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-33a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-29a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-148a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-215-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-23a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-34a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-25-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-19a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-34b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-93-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-183-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-17-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-150-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-30a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-335-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-136-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-191-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-323a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-302a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-302d-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-34c-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-222-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-29c-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-328-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-185-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-210-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-203a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-122-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-101-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-95-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-let-7d-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-23b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-32-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-142-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-107	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-338-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-28-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-127-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-326	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-135b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-212-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-192-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-181a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-128-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-146a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-18a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-186-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-299-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-20a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-103a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-200b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-197-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-141-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-133a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-149-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-152-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-139-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-29b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-196a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-223-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
