miRNA	Contrast	Dir	Info	Source
hsa-miR-335-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-190a-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-510-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-570-3p	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-128-3p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-325	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-361-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-154-3p	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-452-3p	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-542-3p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-103a-3p	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-331-3p	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-633	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-409-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
unknown	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-486-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-485-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-655-3p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-627-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-382-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-148b-3p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-let-7f-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-let-7d-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-96-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-539-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-765	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-518a-5p	high grade vs low grade	Up	high grade vs low grade	dbDEMC
hsa-miR-200a-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-194-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-92b-3p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-26b-5p	high grade vs low grade	Down	high grade vs low grade	dbDEMC
hsa-miR-210-3p	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-135a-5p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-941	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-647	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-30a-3p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-769-3p	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-130b-3p	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-642a-5p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-33a-5p	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-182-3p	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-202-5p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-219a-5p	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-301a-3p	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-148a-3p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-331-3p	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-92a-3p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-150-5p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-99a-5p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-645	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-32-5p	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
unknown	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-345-5p	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-328-3p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-30a-5p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-550a-3p	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-575	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-600	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-218-5p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-10b-5p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-548d-3p	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-181c-5p	poor outcome vs good outcome	Down	poor outcome vs good outcome	dbDEMC
hsa-miR-429	poor outcome vs good outcome	Up	poor outcome vs good outcome	dbDEMC
hsa-miR-425-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-182-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-183-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-125b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-100-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-204-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-195-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-103a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-let-7c-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-449b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-382-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-93-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-127-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-200b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-191-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-410-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-134-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-324-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-99a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-200c-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-205-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-210-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-126-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-501-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-425-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-484	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-301b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-331-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-145-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-195-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-182-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-183-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-125a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-330-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-204-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-210-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-636	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-99a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-100-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-383-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-143-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-454-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-142-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-488-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-125b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-133b	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-98-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-let-7c-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-142-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-129-2-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-376c-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-451a	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-335-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-493-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-379-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-452-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-495-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-19b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-362-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-299-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-93-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-326	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-655-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-376a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-218-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-215-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-449a	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-216b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-449b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-139-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-487b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-200a-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-200b-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-191-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-103a-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-379-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-141-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-15b-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-425-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-93-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-200c-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-429	metastasis	Up	metastasis	dbDEMC
hsa-miR-106b-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-708-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-199b-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-301b-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-1197	metastasis	Down	metastasis	dbDEMC
hsa-miR-99a-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-183-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-1290	metastasis	Up	metastasis	dbDEMC
hsa-miR-107	metastasis	Up	metastasis	dbDEMC
hsa-miR-369-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-96-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-182-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-154-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-1267	metastasis	Down	metastasis	dbDEMC
hsa-miR-409-3p	metastasis	Down	metastasis	dbDEMC
unknown	metastasis	Up	metastasis	dbDEMC
unknown	metastasis	Up	metastasis	dbDEMC
hsa-miR-564	metastasis	Down	metastasis	dbDEMC
hsa-miR-151a-3p	metastasis	Up	metastasis	dbDEMC
unknown	metastasis	Down	metastasis	dbDEMC
hsa-miR-331-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-16-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-148b-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-202-3p	metastasis	Down	metastasis	dbDEMC
unknown	metastasis	Up	metastasis	dbDEMC
hsa-miR-25-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-380-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-125b-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-608	metastasis	Down	metastasis	dbDEMC
unknown	metastasis	Down	metastasis	dbDEMC
hsa-miR-218-2-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-27b-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-330-3p	metastasis	Down	metastasis	dbDEMC
unknown	metastasis	Up	metastasis	dbDEMC
hsa-miR-412-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-645	metastasis	Down	metastasis	dbDEMC
hsa-miR-517-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-339-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-193a-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-15a-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-1246	metastasis	Up	metastasis	dbDEMC
hsa-miR-127-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-196a-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-130b-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-337-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-499a-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-199a-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-1276	metastasis	Down	metastasis	dbDEMC
hsa-miR-490-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-654-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-548o-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-944	metastasis	Down	metastasis	dbDEMC
unknown	metastasis	Up	metastasis	dbDEMC
hsa-miR-17-5p	metastasis	Up	metastasis	dbDEMC
hsa-let-7e-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-197-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-186-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-489-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-149-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-1287-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-191-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-32-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-572	metastasis	Down	metastasis	dbDEMC
hsa-miR-100-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-302b-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-524-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-567	metastasis	Down	metastasis	dbDEMC
hsa-miR-1258	metastasis	Down	metastasis	dbDEMC
hsa-miR-938	metastasis	Down	metastasis	dbDEMC
hsa-miR-323a-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-512-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-554	metastasis	Down	metastasis	dbDEMC
hsa-miR-518c-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-548b-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-134-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-424-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-1256	metastasis	Down	metastasis	dbDEMC
hsa-miR-921	metastasis	Down	metastasis	dbDEMC
hsa-miR-33b-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-106b-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-548j-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-497-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-338-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-218-1-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-30d-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-222-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-199a-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-182-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-487a-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-1286	metastasis	Down	metastasis	dbDEMC
hsa-miR-30b-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-135a-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-484	metastasis	Up	metastasis	dbDEMC
hsa-miR-22-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-186-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-200a-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-631	metastasis	Down	metastasis	dbDEMC
hsa-miR-516b-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-362-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-21-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-888-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-650	metastasis	Down	metastasis	dbDEMC
hsa-miR-148a-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-513b-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-92b-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-105-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-584-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-187-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-214-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-497-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-27a-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-593-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-559	metastasis	Down	metastasis	dbDEMC
hsa-miR-1206	metastasis	Down	metastasis	dbDEMC
hsa-miR-325	metastasis	Down	metastasis	dbDEMC
hsa-miR-1260a	metastasis	Up	metastasis	dbDEMC
hsa-miR-148b-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-639	metastasis	Up	metastasis	dbDEMC
hsa-miR-1243	metastasis	Down	metastasis	dbDEMC
hsa-miR-146a-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-523-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-509-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-195-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-216a-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-301a-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-550a-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-337-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-106a-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-376c-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-15b-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-212-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-145-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-188-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-551a	metastasis	Down	metastasis	dbDEMC
hsa-miR-892b	metastasis	Up	metastasis	dbDEMC
hsa-miR-34a-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-545-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-520e	metastasis	Up	metastasis	dbDEMC
hsa-miR-664a-5p	metastasis	Up	metastasis	dbDEMC
hsa-miR-454-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-517b-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-877-5p	metastasis	Down	metastasis	dbDEMC
hsa-miR-486-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-381-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-519d-3p	metastasis	Up	metastasis	dbDEMC
hsa-miR-586	metastasis	Down	metastasis	dbDEMC
hsa-miR-299-3p	metastasis	Down	metastasis	dbDEMC
hsa-miR-205-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-141-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-200c-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-200b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-31-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-96-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-31-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-139-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-378a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-183-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-182-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-425-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-145-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-140-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-486-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-96-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-342-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-130b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-125b-2-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-141-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-769-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-301a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-139-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-32-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-21-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-7-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-142-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-429	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-34a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-630	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-142-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-10b-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-572	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-331-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-192-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-193b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-155-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-93-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-454-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-135a-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-497-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-103a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-33a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-34b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-513b-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-340-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-193a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-106b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-452-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-513c-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-107	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-342-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-143-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-224-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-575	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-181a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-381-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-887-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-654-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-30c-1-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-125b-1-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-200a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-187-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-203a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-let-7e-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-200b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-298	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-516a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-141-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-100-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-99a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-520b	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-188-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-744-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-324-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-939-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-148b-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-146b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-362-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-638	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-1225-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-134-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-375	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-133b	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-590-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-1229-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-513a-5p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-15b-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-128-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-195-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-18a-5p	BC vs Norm	Up	BC vs Norm	dbDEMC
hsa-miR-874-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-149-3p	BC vs Norm	Down	BC vs Norm	dbDEMC
hsa-miR-19a-3p	BC vs Norm	Up	BC vs Norm	dbDEMC
